hotel_name,hotel_stars_count,location,rating,room_type1,occupancy1,summer_price1,room_type2,occupancy2,summer_price2,room_type3,occupancy3,summer_price3,amenities_list
Хотел Блу Ориндж,,Созопол,8.2,стандартна стая,2,210 лв,,,,,,,"['открит басейн', 'паркинг', 'ресторант', 'аниматори', 'сейф', 'рум сервиз', 'детски кът', 'детски басейн', 'барбекю', 'лоби бар', 'телевизор', 'сателитна тв', 'климатик', 'хладилник', 'мини-бар', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'закрит басейн', 'сешоар', 'обменно бюро', 'плащане с карта', 'бар-басейн', 'достъп за инвалиди', 'SPA център']"
Вила Вега,3.0,Созопол,8.6,стандартна стая,2,55 лв,апартамент,4,100 лв,,,,"['открит басейн', 'паркинг', 'джакузи', 'детски кът', 'детски басейн', 'барбекю', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'гладене', 'достъп за инвалиди']"
Семеен хотел Барекс,3.0,Созопол,9.0,стандартна стая,2,126 лв,стандартна стая,3,144 лв,,,,"['открит басейн', 'ресторант', 'рент-а-кар', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'мини-бар', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'пране', 'плащане с карта', 'електрическа кана']"
Семеен хотел Електра,2.0,Созопол,,стандартна стая,2,45 лв,стандартна стая,3,55 лв,студио,4,65 лв,"['паркинг', 'телевизор', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'ютия', 'лятна градина']"
Семеен хотел Власта,2.0,Созопол,,стандартна стая,2,60 лв,студио,3,100 лв,,,,"['телевизор', 'кабелна тв', 'климатик', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'тераса', 'гладене']"
Апартаменти Виа Понтика 123,3.0,Созопол,8.9,студио,2,160 лв,апартамент,2,190 лв,апартамент,4,200 лв,"['открит басейн', 'паркинг', 'барбекю', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'кафе машина', 'електрическа кана']"
Хотел Аполис,3.0,Созопол,8.3,стандартна стая,2,126 лв,студио,2,139 лв,мезонет,2,153 лв,"['открит басейн', 'паркинг', 'ресторант', 'рент-а-кар', 'детски кът', 'детски басейн', 'телевизор', 'сателитна тв', 'климатик', 'мини-бар', 'баня/тоалетна', 'тераса', 'изглед']"
Хотел Хасиенда Бийч,4.0,Созопол,7.6,апартамент,2,220 лв,апартамент,3,300 лв,апартамент,4,400 лв,"['открит басейн', 'паркинг', 'ресторант', 'охрана', 'сейф', 'детски кът', 'детски басейн', 'лоби бар', 'кафене', 'телевизор', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'радио', 'сешоар', 'пране', 'плащане с карта', 'дом. любимци', 'лятна градина', 'бар-басейн', 'достъп за инвалиди']"
Семеен хотел Аиа,3.0,Созопол,9.3,стандартна стая,2,66 лв,,,,,,,"['паркинг', 'екскурзовод', 'рент-а-кар', 'сейф', 'барбекю', 'телевизор', 'кухня', 'климатик', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'ютия', 'сешоар', 'кухненски бокс', 'достъп за инвалиди']"
Къща Кера до Централен плаж,2.0,Созопол,9.3,стандартна стая,2,90 лв,стандартна стая,3,105 лв,студио,4,130 лв,"['телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия']"
Комплекс Мапи Холидей,3.0,Созопол,8.9,стандартна стая,2,102 лв,стандартна стая,3,128 лв,студио,4,160 лв,"['открит басейн', 'паркинг', 'ресторант', 'детски басейн', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'кухненски бокс']"
Семеен хотел Изток,3.0,Созопол,9.0,стандартна стая,3,80 лв,студио,2,65 лв,апартамент,4,105 лв,"['открит басейн', 'паркинг', 'джакузи', 'детски басейн', 'барбекю', 'телевизор', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'пералня', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'пране', 'гладене', 'кафе машина', 'лятна градина', 'достъп за инвалиди', 'електрическа кана']"
